ANTIODEURS
BRILLANCES
CONSTITUER
DESACTIVER
ENCAGOULES
FIGURANTES
GRIMPANTES
HONORAIRES
INTERLOPES
JANISSAIRE
KANGOUROUS
LUXURIANTS
MATRICULES
NOVATRICES
ORIENTEURS
PREDICANTS
QUANTIEMES
RECAPITULE
SARDONIQUE
TRAINGLOTS
ULTRACHICS
VARIATIONS
WAGONSALON
XENOPHOBES
YACHTWOMAN
ZENITHALES
ACCEPTABLE
BOUGREMENT
CALVINISME
DECOUPLAGE
EXPEDITEUR
FALCIFORME
GRENOUILLE
HEMATOCELE
INDICATEUR
JACASSANTE
XENOGENESE
LOCOMOBILE
MODERNISME
NAPHTALENE
OMBILICALE
PORTEPLUME
QUADRANGLE
REVIGOREES
SIMPLISTES
TUMESCENCE
UKRAINIENS
VALDINGUER
